#time,	RhoI from block 1 to block 8
71	0.005	0.011	0.01	0.0035	0.004	0.0015	0.002	0.024	
72	0.0045	0.0135	0.0065	0.0075	0.0045	0.002	0.0025	0.014	
73	0.0055	0.019	0.004	0.0025	0.004	0.0045	0.0045	0.012	
74	0.0045	0.0035	0.001	0.0045	0.0025	0.005	0.004	0.0085	
75	0.002	0.003	0.0025	0.0015	0.0045	0.002	0.0035	0.0035	
76	0.004	0.003	0.0065	0.004	0.003	0.0025	0.0015	0.005	
77	0.002	0.005	0.015	0.001	0.0035	0.0025	0.003	0.001	
78	0.0035	0.0075	0.0205	0.0015	0	0.0015	0.002	0.0025	
79	0.005	0.004	0.0225	0.0025	0.0015	0.003	0.0035	0.0125	
80	0.0045	0.007	0.0115	0.003	0.0045	0.002	0.0055	0.02	
81	0.0115	0.017	0.012	0.0065	0.009	0.005	0.0005	0.021	
82	0.015	0.005	0.0075	0.005	0.007	0.0025	0.001	0.0145	
83	0.015	0.0035	0.001	0.006	0.0085	0.003	0.0045	0.0125	
84	0.018	0.0025	0.0025	0.002	0.006	0.003	0.0035	0.0055	
85	0.015	0.0035	0.002	0.0005	0.0105	0.0035	0.002	0.0035	
86	0.0115	0.006	0.002	0.004	0.005	0.0025	0.0025	0.0025	
87	0.006	0.0035	0.0075	0.0025	0.0025	0.0015	0.0045	0.002	
88	0.0025	0.002	0.0105	0.001	0.001	0.004	0.002	0.0145	
89	0.004	0.012	0.0205	0.01	0.002	0.003	0.003	0.025	
90	0.0035	0.013	0.015	0.0145	0.0045	0.0035	0.0045	0.02	
91	0.003	0.013	0.007	0.013	0.002	0.0025	0.0045	0.0195	
92	0.01	0.006	0.0065	0.007	0.0015	0.006	0.003	0.014	
93	0.0025	0.004	0.0045	0.006	0.0055	0.0025	0.0045	0.0065	
94	0.0075	0.002	0	0.0065	0.008	0.0035	0.001	0.003	
95	0.0045	0.0025	0.0015	0.002	0.0085	0.0025	0.0015	0.002	
96	0.0025	0.0025	0.0025	0.0015	0.0065	0.003	0.006	0.003	
97	0.004	0.0065	0.003	0.0025	0.012	0.0025	0.006	0.0155	
98	0.0015	0.012	0.0035	0.003	0.013	0.004	0.0035	0.0255	
99	0.0025	0.013	0.0045	0.003	0.016	0.002	0.005	0.0265	
100	0.003	0.0105	0.0045	0.0125	0.016	0.002	0.005	0.021	
101	0.004	0.006	0.0045	0.0045	0.02	0.002	0.0025	0.0145	
102	0.0045	0.003	0.0015	0.0045	0.014	0.0045	0.0025	0.0125	
103	0.0045	0.0035	0.003	0.005	0.0115	0.0025	0.003	0.0025	
104	0.016	0.0035	0.003	0.0045	0.0025	0.003	0.0035	0.002	
105	0.018	0.0035	0.0045	0.001	0.003	0.004	0.0015	0.0025	
106	0.008	0.003	0.003	0.0015	0.002	0.0025	0.0025	0.0165	
107	0.011	0.004	0.0025	0.0025	0.002	0.0015	0.006	0.0265	
108	0.003	0.002	0.0045	0.0045	0.0005	0.0025	0.0125	0.0255	
109	0.0025	0.008	0.005	0.003	0.0085	0.003	0.0115	0.0205	
110	0.0025	0.0025	0.003	0.002	0.0085	0.004	0.012	0.0185	
111	0.001	0.003	0.006	0.0055	0.006	0.0015	0.0155	0.0125	
112	0.004	0.0065	0.003	0.004	0.003	0.0025	0.0095	0.0015	
113	0.0075	0.0055	0.0055	0.0025	0.0025	0.0025	0.004	0.003	
114	0.0105	0.0015	0.0035	0.002	0.003	0.0045	0.0035	0.0015	
115	0.017	0.0015	0.0035	0.003	0.0005	0.006	0.001	0.0255	
116	0.0145	0.0045	0.0025	0.0055	0.0035	0.0035	0.004	0.0215	
117	0.0105	0.003	0.002	0.0065	0.001	0.003	0.003	0.0175	
118	0.0075	0.001	0.001	0.0045	0.0075	0.0035	0.0025	0.019	
119	0.002	0.0025	0.001	0.0055	0.012	0.002	0.0045	0.014	
120	0.002	0.006	0.002	0.0065	0.01	0.0015	0.0095	0.008	
121	0.0035	0.011	0.0005	0.0025	0.008	0.003	0.007	0.003	
122	0.0035	0.0035	0.002	0.002	0.0105	0.002	0.0145	0.0025	
123	0.0045	0.007	0.007	0.0085	0.006	0.007	0.018	0.0215	
124	0.0065	0.01	0.0065	0.0035	0.001	0.0085	0.021	0.0255	
125	0.014	0.013	0.0105	0.0035	0.0025	0.0105	0.0125	0.0175	
126	0.0055	0.0045	0.0095	0.0035	0.001	0.0115	0.0075	0.018	
127	0.004	0.002	0.015	0.003	0.005	0.0095	0.0075	0.019	
128	0.003	0.0015	0.013	0.004	0.01	0.0075	0.0055	0.015	
129	0.0015	0.006	0.0045	0.0015	0.007	0.0025	0.001	0.0025	
130	0.0015	0.0025	0.004	0.004	0.002	0.002	0.001	0.0015	
131	0.002	0.0025	0.001	0.004	0.004	0.004	0.004	0.0105	
132	0.0035	0.0035	0.0035	0.004	0.003	0.0035	0.0115	0.027	
133	0.0055	0.0025	0.002	0.0075	0.003	0.003	0.016	0.0195	
134	0.0025	0.004	0.002	0.004	0.002	0.004	0.019	0.0155	
135	0.001	0.0035	0.0025	0.004	0.0045	0.004	0.019	0.011	
136	0.0035	0.0035	0.0025	0.0025	0.001	0.0075	0.015	0.0095	
137	0.002	0.0015	0.006	0.003	0.005	0.005	0.011	0.002	
138	0.0035	0.0025	0.0045	0.002	0.005	0.0085	0.0025	0.0025	
139	0.0015	0.002	0.0025	0.002	0.013	0.007	0	0.002	
140	0.0025	0.002	0.002	0.003	0.011	0.0045	0.0005	0.023	
141	0.004	0.003	0.0015	0.0055	0.01	0.0045	0.0025	0.0215	
142	0.021	0.002	0.002	0.001	0.0035	0.0025	0.009	0.024	
143	0.016	0.0015	0.0025	0.0025	0.0035	0.003	0.015	0.0195	
144	0.014	0.002	0.003	0.001	0.0015	0.001	0.016	0.0175	
145	0.0065	0.004	0.0025	0.0035	0.003	0.0035	0.0135	0.0175	
146	0.012	0.01	0.0035	0.005	0.002	0.0035	0.0095	0.003	
147	0.0045	0.01	0.0015	0.0035	0.0025	0.0025	0.0065	0.0035	
148	0.002	0.0185	0.0075	0.0045	0.0035	0.001	0.001	0.013	
149	0.001	0.017	0.004	0.0125	0.005	0.0055	0.0015	0.0255	
150	0.004	0.008	0.0035	0.005	0.001	0.002	0.0025	0.0205	
151	0.0055	0.007	0.0025	0.003	0.003	0.0025	0.002	0.025	
152	0.0085	0.0025	0.0045	0.0025	0.005	0.003	0.012	0.017	
153	0.0105	0.001	0.0005	0.004	0.0045	0.002	0.0095	0.013	
154	0.02	0.003	0.003	0.0025	0.004	0.0035	0.012	0.0015	
155	0.009	0.0015	0.0035	0.001	0.0045	0.0015	0.0085	0.0015	
156	0.0075	0.009	0.012	0.0025	0.0025	0.002	0.011	0.002	
157	0.004	0.021	0.018	0.012	0.005	0.0085	0.0105	0.023	
158	0.002	0.011	0.017	0.022	0.003	0.0095	0.003	0.0175	
159	0.002	0.0065	0.018	0.017	0.002	0.014	0.0035	0.025	
160	0.0015	0.0055	0.011	0.019	0.0035	0.0055	0.0045	0.019	
161	0.0015	0.004	0.0105	0.015	0.004	0.005	0.0065	0.0165	
162	0.0135	0.001	0.0045	0.0175	0.0035	0.0055	0.0065	0.0195	
163	0.015	0.001	0.003	0.0045	0.0025	0.001	0.0035	0.0005	
164	0.013	0.002	0.0005	0.0035	0.0025	0.0015	0.0035	0.003	
165	0.0175	0.0135	0.003	0.0025	0.002	0.002	0.0065	0.023	
166	0.008	0.01	0.0035	0.0075	0.0025	0.002	0.0045	0.025	
167	0.005	0.014	0.002	0.01	0.0025	0.005	0.005	0.023	
168	0.0015	0.008	0.0025	0.0045	0.003	0.004	0.004	0.02	
169	0.002	0.0085	0.004	0.003	0.0035	0.006	0.0035	0.0145	
170	0.005	0.0045	0.0015	0.002	0.0015	0.016	0.006	0.0135	
171	0.0055	0.004	0.0035	0.0015	0.0025	0.015	0.002	0.0035	
172	0.0045	0.0035	0.0015	0.0025	0.0025	0.0145	0.005	0.002	
173	0.0085	0.002	0.0005	0.003	0.0045	0.014	0.0035	0.0055	
174	0.0145	0.004	0.0025	0	0.0025	0.011	0.0005	0.028	
175	0.007	0.0085	0.003	0.004	0.003	0.0135	0.003	0.0245	
176	0.005	0.0075	0.0035	0.0035	0.004	0.002	0.003	0.02	
177	0.006	0.0175	0.0145	0.0085	0.006	0.003	0.002	0.0155	
178	0.0055	0.0045	0.0105	0.007	0.005	0.015	0.002	0.0145	
179	0.0035	0.002	0.0135	0.01	0.0035	0.006	0.0015	0.002	
180	0.004	0.0015	0.008	0.014	0.0055	0.0065	0.003	0.0025	
181	0.0005	0.004	0.0095	0.0095	0.0005	0.004	0.0025	0.0035	
182	0.0045	0.0015	0.0055	0.0085	0.004	0.004	0.0045	0.0255	
183	0.002	0.0025	0.0015	0.003	0.001	0.003	0.002	0.022	
184	0.0025	0.002	0.003	0.003	0.003	0.0035	0.002	0.023	
185	0.0115	0.0065	0.002	0.002	0.0015	0.001	0.0025	0.0265	
186	0.0105	0.019	0.004	0.0025	0.005	0.0115	0.0025	0.023	
187	0.008	0.019	0.0045	0.0015	0.0035	0.0115	0.002	0.0135	
188	0.0075	0.014	0.0045	0.0035	0.002	0.006	0.002	0.0045	
189	0.0075	0.0155	0.0025	0.0015	0.0025	0.0065	0.0015	0.0025	
190	0.0135	0.0155	0.004	0.004	0.0025	0.0065	0.003	0.0185	
191	0.0045	0.002	0.0045	0.0015	0.0035	0.003	0.0045	0.0175	
192	0.0045	0.002	0.005	0.003	0.003	0.0005	0.0045	0.0165	
193	0.005	0.0025	0.006	0.003	0.002	0.002	0.0115	0.0245	
194	0.0025	0.0135	0.004	0.005	0.004	0.004	0.015	0.02	
195	0.003	0.0145	0.0115	0.002	0.005	0.012	0.0055	0.007	
196	0.0025	0.02	0.0045	0.002	0.0095	0.0095	0.008	0.0035	
197	0.002	0.0175	0.0035	0.0045	0.009	0.005	0.002	0.003	
198	0.004	0.0115	0.0045	0.0025	0.015	0.0055	0.005	0.004	
199	0.003	0.01	0.0045	0.001	0.0105	0.0035	0.0035	0.0025	
200	0.0045	0.003	0.003	0.003	0.013	0.0045	0.002	0.002	
201	0.0075	0.0025	0.0005	0.0035	0.006	0.004	0.003	0.0075	
202	0.0105	0.002	0.0025	0.006	0.0065	0.0015	0.0035	0.023	
203	0.015	0.007	0.0035	0.0035	0.004	0.0095	0.001	0.024	
204	0.0185	0.0055	0.0015	0.0035	0.002	0.0035	0.003	0.0205	
205	0.017	0.013	0.0035	0.0055	0.0025	0.003	0.0035	0.0155	
206	0.0105	0.0055	0.003	0.0015	0.0015	0.003	0.001	0.0255	
207	0.0105	0.002	0.003	0.0035	0.002	0.0035	0.004	0.005	
208	0.005	0.0015	0.0025	0.002	0.0025	0.0025	0.004	0.002	
209	0.002	0.0015	0.0015	0.0025	0.01	0.0015	0.0045	0.0025	
210	0.0025	0.0015	0.0015	0.006	0.012	0.0005	0.0055	0.0185	
211	0.0035	0.001	0.0085	0.0105	0.0135	0.006	0.003	0.0235	
212	0.0035	0.0025	0.0035	0.0115	0.015	0.004	0.0025	0.018	
